master,taster,category,brand,rating,ranking
Jacob,Jacob,Peanut Butter,Jif,4,1
Jacob,Justin,Peanut Butter,Reese's,2.5,5
Jacob,Justin,Peanut Butter,Peter Pan,4,2
Jacob,Justin,Peanut Butter,Great Value,3.5,4
Jacob,Justin,Peanut Butter,Skippy,4.5,1
Jacob,Justin,Peanut Butter,Earth Balance,1.5,6
Jacob,Justin,Peanut Butter,Jif,4,3
Katelin,Alyssa,Ice Cream,Prarie Farms,1.5,8
Katelin,Alyssa,Ice Cream,Schnuck's,2,7
Katelin,Alyssa,Ice Cream,Breyer's,4,3
Katelin,Alyssa,Ice Cream,Edy's,4,4
Katelin,Alyssa,Ice Cream,Haagen Dazs,3.5,6
Katelin,Alyssa,Ice Cream,Blue Bunny,3.5,5
Katelin,Alyssa,Ice Cream,Oberweis,5,1
Katelin,Alyssa,Ice Cream,Gelato,4.5,2
Katelin,Austin,Ice Cream,Prarie Farms,1.5,8
Katelin,Austin,Ice Cream,Schnuck's,2.5,7
Katelin,Austin,Ice Cream,Breyer's,5,1
Katelin,Austin,Ice Cream,Edy's,4.5,4
Katelin,Austin,Ice Cream,Haagen Dazs,4,6
Katelin,Austin,Ice Cream,Blue Bunny,4,5
Katelin,Austin,Ice Cream,Oberweis,4.5,3
Katelin,Austin,Ice Cream,Gelato,5,2
Katelin,Andrew,Ice Cream,Prarie Farms,2.5,8
Katelin,Andrew,Ice Cream,Schnuck's,3,5
Katelin,Andrew,Ice Cream,Breyer's,3.5,3
Katelin,Andrew,Ice Cream,Edy's,3,7
Katelin,Andrew,Ice Cream,Haagen Dazs,4,2
Katelin,Andrew,Ice Cream,Blue Bunny,3.5,4
Katelin,Andrew,Ice Cream,Oberweis,3,6
Katelin,Andrew,Ice Cream,Gelato,4,1
Katelin,Evan,Ice Cream,Prarie Farms,3.5,4
Katelin,Evan,Ice Cream,Schnuck's,2.5,6
Katelin,Evan,Ice Cream,Breyer's,4,2
Katelin,Evan,Ice Cream,Edy's,2.5,5
Katelin,Evan,Ice Cream,Haagen Dazs,4.1,1
Katelin,Evan,Ice Cream,Blue Bunny,3.5,3
Katelin,Evan,Ice Cream,Oberweis,2,7
Katelin,Evan,Ice Cream,Gelato,1.75,8
Katelin,Sam,Ice Cream,Prarie Farms,1.5,7
Katelin,Sam,Ice Cream,Schnuck's,1.5,8
Katelin,Sam,Ice Cream,Breyer's,3.5,3
Katelin,Sam,Ice Cream,Edy's,2.5,6
Katelin,Sam,Ice Cream,Haagen Dazs,3,5
Katelin,Sam,Ice Cream,Blue Bunny,3,4
Katelin,Sam,Ice Cream,Oberweis,4.5,1
Katelin,Sam,Ice Cream,Gelato,4,2
Katelin,Katelin,Ice Cream,Prarie Farms,5,1
Katelin,Katelin,Ice Cream,Schnuck's,1.5,8
Katelin,Katelin,Ice Cream,Breyer's,2,6
Katelin,Katelin,Ice Cream,Edy's,2,7
Katelin,Katelin,Ice Cream,Haagen Dazs,4.5,2
Katelin,Katelin,Ice Cream,Blue Bunny,2.5,5
Katelin,Katelin,Ice Cream,Oberweis,3,4
Katelin,Katelin,Ice Cream,Gelato,3.5,3
Katelin,Anastasia,Ice Cream,Prarie Farms,3,8
Katelin,Anastasia,Ice Cream,Schnuck's,0.5,7
Katelin,Anastasia,Ice Cream,Breyer's,2.5,5
Katelin,Anastasia,Ice Cream,Edy's,2,4
Katelin,Anastasia,Ice Cream,Haagen Dazs,3,2
Katelin,Anastasia,Ice Cream,Blue Bunny,2,3
Katelin,Anastasia,Ice Cream,Oberweis,1.5,6
Katelin,Anastasia,Ice Cream,Gelato,5,1
Katelin,Jacob,Ice Cream,Prarie Farms,2.5,7
Katelin,Jacob,Ice Cream,Schnuck's,1.5,8
Katelin,Jacob,Ice Cream,Breyer's,4,2
Katelin,Jacob,Ice Cream,Edy's,3.5,3
Katelin,Jacob,Ice Cream,Haagen Dazs,3.5,4
Katelin,Jacob,Ice Cream,Blue Bunny,3,5
Katelin,Jacob,Ice Cream,Oberweis,4.5,1
Katelin,Jacob,Ice Cream,Gelato,3,6
Katelin,Justin,Ice Cream,Prarie Farms,2,7
Katelin,Justin,Ice Cream,Schnuck's,2.5,6
Katelin,Justin,Ice Cream,Breyer's,3.5,2
Katelin,Justin,Ice Cream,Edy's,3,5
Katelin,Justin,Ice Cream,Haagen Dazs,3,3
Katelin,Justin,Ice Cream,Blue Bunny,3,4
Katelin,Justin,Ice Cream,Oberweis,2,8
Katelin,Justin,Ice Cream,Gelato,5,1
Evan,Alyssa,Cream Soda,IBC,1.5,2
Evan,Alyssa,Cream Soda,A&W,2,1
Evan,Alyssa,Cream Soda,Fitz's,0.5,5
Evan,Alyssa,Cream Soda,Natural Brew,0,6
Evan,Alyssa,Cream Soda,Virgil's,1,4
Evan,Alyssa,Cream Soda,Boylan's,1,3
Evan,Austin,Cream Soda,IBC,4,3
Evan,Austin,Cream Soda,A&W,2,5
Evan,Austin,Cream Soda,Fitz's,4.5,2
Evan,Austin,Cream Soda,Natural Brew,0.5,6
Evan,Austin,Cream Soda,Virgil's,2.5,4
Evan,Austin,Cream Soda,Boylan's,4.5,1
Evan,Andrew,Cream Soda,IBC,4,2
Evan,Andrew,Cream Soda,A&W,4,1
Evan,Andrew,Cream Soda,Fitz's,3,3
Evan,Andrew,Cream Soda,Natural Brew,3,4
Evan,Andrew,Cream Soda,Virgil's,2,5
Evan,Andrew,Cream Soda,Boylan's,2,6
Evan,Evan,Cream Soda,IBC,1.5,6
Evan,Evan,Cream Soda,A&W,2,4
Evan,Evan,Cream Soda,Fitz's,3,1
Evan,Evan,Cream Soda,Natural Brew,2,5
Evan,Evan,Cream Soda,Virgil's,2.5,3
Evan,Evan,Cream Soda,Boylan's,3,2
Evan,Sam,Cream Soda,IBC,2,4
Evan,Sam,Cream Soda,A&W,1,6
Evan,Sam,Cream Soda,Fitz's,4.5,1
Evan,Sam,Cream Soda,Natural Brew,2,5
Evan,Sam,Cream Soda,Virgil's,4,2
Evan,Sam,Cream Soda,Boylan's,4,3
Evan,Katelin,Cream Soda,IBC,4,4
Evan,Katelin,Cream Soda,A&W,4,5
Evan,Katelin,Cream Soda,Fitz's,5,2
Evan,Katelin,Cream Soda,Natural Brew,4,3
Evan,Katelin,Cream Soda,Virgil's,3,6
Evan,Katelin,Cream Soda,Boylan's,5,1
Evan,Anastasia,Cream Soda,IBC,2,6
Evan,Anastasia,Cream Soda,A&W,3,4
Evan,Anastasia,Cream Soda,Fitz's,4,1
Evan,Anastasia,Cream Soda,Natural Brew,3.5,2
Evan,Anastasia,Cream Soda,Virgil's,2.5,5
Evan,Anastasia,Cream Soda,Boylan's,3,3
Evan,Jacob,Cream Soda,IBC,3.5,3
Evan,Jacob,Cream Soda,A&W,0.5,6
Evan,Jacob,Cream Soda,Fitz's,4.5,1
Evan,Jacob,Cream Soda,Natural Brew,2.5,5
Evan,Jacob,Cream Soda,Virgil's,3,4
Evan,Jacob,Cream Soda,Boylan's,4,2
Evan,Justin,Cream Soda,IBC,4,2
Evan,Justin,Cream Soda,A&W,4,3
Evan,Justin,Cream Soda,Fitz's,5,1
Evan,Justin,Cream Soda,Natural Brew,3,4
Evan,Justin,Cream Soda,Virgil's,2.5,6
Evan,Justin,Cream Soda,Boylan's,2.5,5
Anastasia,Alyssa,Brownies,Little Debbie,3,2
Anastasia,Alyssa,Brownies,Sweet Art,1,6
Anastasia,Alyssa,Brownies,Panera,2,4
Anastasia,Alyssa,Brownies,Russel's,3,3
Anastasia,Alyssa,Brownies,Ghiradelli,3.5,1
Anastasia,Alyssa,Brownies,Homemade,1,5
Anastasia,Austin,Brownies,Little Debbie,4,1
Anastasia,Austin,Brownies,Sweet Art,1.5,6
Anastasia,Austin,Brownies,Panera,2.5,3
Anastasia,Austin,Brownies,Russel's,3,2
Anastasia,Austin,Brownies,Ghiradelli,2,4
Anastasia,Austin,Brownies,Homemade,2,5
Anastasia,Andrew,Brownies,Little Debbie,3.5,2
Anastasia,Andrew,Brownies,Sweet Art,1.5,5
Anastasia,Andrew,Brownies,Panera,2.5,3
Anastasia,Andrew,Brownies,Russel's,1.5,4
Anastasia,Andrew,Brownies,Ghiradelli,4,1
Anastasia,Andrew,Brownies,Homemade,1,6
Anastasia,Evan,Brownies,Little Debbie,3.5,1
Anastasia,Evan,Brownies,Sweet Art,3,2
Anastasia,Evan,Brownies,Panera,2.5,3
Anastasia,Evan,Brownies,Russel's,2,5
Anastasia,Evan,Brownies,Ghiradelli,1.5,6
